"UnitID","Name","enrollment","tuition","endowment","netPrice","Istaff","retention","fresh","SFR","GradRate","Psalary","undergrad","MATH","READ","Name2","USNews"
204501,"Oberlin College",2961,50582,765803704,38887,336,94,773,9,88,92682,2961,26.6226,29.644,"Oberlin College",26
120254,"Occidental College",2162,49248,356767066,32746,173,93,548,10,85,95391,2040,26.1503,27.34,"Occidental College",45
140696,"Oglethorpe University",1140,33800,19382031,20326,57,71,283,14,51,43974,1094,21.4273,23.308," Oglethorpe University 1 ",165
204909,"Ohio Wesleyan University",1783,43230,189136269,29445,142,79,536,10,66,75420,1734,21.4273,22.156,"Ohio Wesleyan University",95
121257,"Pitzer College",1025,48670,118357867,26082,80,90,265,12,84,90747,1076,27.0949,28.492,"Pitzer College",34
121345,"Pomona College",1630,47620,1823441000,19205,222,98,396,7,93,111789,1650,29.9287,32.524,"Pomona College",8
218539,"Presbyterian College",1414,36130,83445435,17442,99,83,296,12,65,67986,1146,20.4827,20.428,"Presbyterian College",120
148016,"Principia College",501,27440,339231224,15487,61,90,125,7,88,65655,493,19.5381,18.7,"Principia College",117
233301,"Randolph College",692,35410,136096000,20443,68,74,216,10,41,69192,675,19.54,20.43,"Randolph College",134
233295,"Randolph-Macon College",1362,37600,131812369,26056,100,77,382,12,62,69840,1394,20.4827,21.004,"Randolph-Macon College",135
209922,"Reed College",1360,49940,470033739,18671,155,90,354,9,79,91368,1374,27.0949,30.796," Reed College 1 ",89
221351,"Rhodes College",2096,43224,294366992,28615,183,88,545,11,80,72558,2031,25,27,"Rhodes College",46
239628,"Ripon College",890,36514,71227447,20559,66,84,238,11,68,59724,840,21,21,"Ripon College",114
233426,"Roanoke College",2294,39791,126022410,29077,167,80,542,11,64,66195,2050,20.4827,21.004,"Roanoke College",140
183239,"Saint Anselm College",1986,37904,106304526,30980,149,90,508,11,75,74529,1968,22.8442,23.308,"St. Anselm College",118
174792,"Saint Johns University",1793,40226,152164296,24333,147,88,497,12,80,73503,1789,23,21,"St. John's University",80
152390,"Saint Mary's College",1633,37400,135423133,26529,138,89,437,10,81,63423,1519,23,24,"St. Mary's College",97
231059,"Saint Michael's College",2433,40750,78327780,29047,147,90,506,12,79,75789,2123,22.3719,23.884,"St. Michael's College",101
239716,"Saint Norbert College",2137,34237,85111254,22793,133,84,539,14,70,61839,2112,22,22,"St. Norbert College",136
215798,"Saint Vincent College",1815,32392,78366120,19586,100,82,472,12,74,64314,1626,19.0658,18.7,"Saint Vincent College",151
199607,"Salem College",1029,26236,54135041,15497,57,75,180,11,65,54495,946,19.5381,20.428,"Salem College",126
195304,"Sarah Lawrence College",1730,51038,75768291,35888,107,85,427,10,77,87309,1437,23.3165,28.492,"Sarah Lawrence College",59
123165,"Scripps College",1007,49152,282289240,35037,83,94,272,10,87,96786,972,26.6226,29.644,"Scripps College",23
221519,"Sewanee-The University of the South",1806,38700,336524119,25414,154,88,488,10,79,82899,1631,23.7888,26.188,"Sewanee--University of the South",48
195474,"Siena College",3103,33415,132794246,25140,225,89,764,11,80,73539,3132,21.8996,21.58,"Siena College",127
154350,"Simpson College",1788,34175,78609361,21229,94,82,373,13,73,58311,1660,20,21,"Simpson College",152
195526,"Skidmore College",2710,49120,303092000,24316,263,95,660,8,87,83088,2632,24.2611,25.036,"Skidmore College",38
167835,"Smith College",3211,46288,1557426714,25619,312,94,643,9,87,102330,2563,26.6226,28.492,"Smith College",16
399911,"Soka University of America",433,30642,1117424000,13635,47,96,112,9,79,91800,411,25.2057,21.58,"Soka University of America",42
228343,"Southwestern University",1527,37560,252949637,25635,113,82,491,12,73,72702,1538,22.3719,22.732,"Southwestern University",96
141060,"Spelman College",2397,26388,327171376,30522,180,89,558,10,74,67419,2135,18.1212,19.276,"Spelman College",74
163976,"St John's College (MD)",529,49119,80723158,32598,55,86,122,8,72,74691,429,24.2611,30.22,"St. John's College",55
195216,"St Lawrence University",2400,49420,251421388,30938,192,90,629,11,85,79092,2317,23.3165,24.46,"St. Lawrence University",56
163912,"St Mary's College of Maryland",1840,28745,32733941,17112,147,85,383,10,81,65349,1688,22.3719,25.8424,"St. Mary's College of Maryland",100
174844,"St Olaf College",3004,42940,380180902,28019,226,93,752,11,89,76473,3034,26,27,"St. Olaf College",57
245652,"St. John's College (NM)",476,49644,28498219,27172,45,90,83,9,50,83970,340,23.7888,27.34,"St. John's College",85
167996,"Stonehill College",2317,38550,171222793,31085,158,90,610,12,82,79254,2284,21.4273,22.156,"Stonehill College",112
216278,"Susquehanna University",2314,42040,133704567,26531,136,83,589,12,76,72315,2093,21.4273,21.58,"Susquehanna University",137
216287,"Swarthmore College",1573,47442,1634685000,22557,199,95,388,8,94,109404,1542,29.4564,31.948,"Swarthmore College",5
233718,"Sweet Briar College",610,34935,88058200,25395,77,75,197,8,65,64413,691,18.1212,18.988,"Sweet Briar College",141
206589,"The College of Wooster",2166,44950,247092897,28016,171,89,560,11,76,74511,2049,24,25,"College of Wooster",63
124292,"Thomas Aquinas College",449,24500,14789700,19770,32,97,88,11,72,83133,378,23.7888,28.492,"Thomas Aquinas College",58
157818,"Transylvania University",1190,34370,147438068,23093,86,83,289,11,70,74646,1014,24,25,"Transylvania University",86
130590,"Trinity College",2379,50776,486507152,25120,195,89,602,9,84,94311,2316,24.7334,25.612,"Trinity College",39
196866,"Union College",2188,50013,358600000,33826,212,90,559,10,86,97290,2242,27.0949,27.916,"Union College",40
174251,"University of Minnesota-Morris",1798,12846,11236222,14397,124,79,468,13,67,61155,1899,22,21,"University of Minnesota--Morris",142
236328,"University of Puget Sound",2479,44976,276927000,38590,242,87,670,11,76,85806,2553,23.3165,25.036,"University of Puget Sound",71
233374,"University of Richmond",4062,48090,2025996000,24011,397,94,805,8,84,102717,3346,26.6226,27.34,"University of Richmond",30
216524,"Ursinus College",1682,47700,129080566,31490,123,92,425,12,80,78660,1681,21.8996,22.732,"Ursinus College",98
197133,"Vassar College",2476,51250,868741153,19661,284,95,655,8,92,99909,2421,28.0395,31.372,"Vassar College",18
234085,"Virginia Military Institute",1918,39550,337927474,16233,129,89,419,11,71,68895,1700,22.8442,23.308,"Virginia Military Institute",75
152673,"Wabash College",928,39980,348138423,22883,90,89,241,10,73,76986,926,21.8996,21.58,"Wabash College",67
199865,"Warren Wilson College",916,32560,60954556,23617,67,66,220,10,51,54873,822,20.0104,23.308,"Warren Wilson College",167
154527,"Wartburg College",1711,37190,53287753,22619,109,74,451,12,71,60570,1661,20,20,"Wartburg College",138
216667,"Washington & Jefferson College",1358,43226,122227162,27817,109,86,326,11,76,69282,1362,22.8442,22.732,"Washington and Jefferson College",102
234207,"Washington and Lee University",2166,46417,1345356000,20700,256,97,480,8,88,110376,1890,28.5118,30.796,"Washington and Lee University",11
164216,"Washington College",1547,43850,179872677,30968,97,85,349,11,74,73053,1467,22.8442,23.308,"Washington College",103
168218,"Wellesley College",2465,46836,1576337000,21216,333,94,590,7,91,103599,2323,27.5672,30.22,"Wellesley College",3
141325,"Wesleyan College",598,20290,58071370,17130,50,67,119,13,48,57807,661,18.1212,20.428,"Wesleyan College",143
130697,"Wesleyan University",3490,49274,688643000,24156,352,96,741,8,93,103437,2928,27.0949,28.492,"Wesleyan University",22
179946,"Westminster College",986,23480,48903016,20621,59,78,257,14,66,53415,954,19.0658,20.428,"Westminster College",121
216807,"Westminster College",1436,34105,101710354,21635,102,82,300,10,76,59679,1159,21,21,"Westminster College",153
125727,"Westmont College",1466,41360,73917634,32645,95,91,275,12,78,68886,1300,21.8996,23.308,"Westmont College",104
149781,"Wheaton College",2944,32950,352506144,25258,205,93,597,12,89,77463,2432,23.3165,24.46,"Wheaton College (IL)",64
168281,"Wheaton College",1610,47700,176062312,34145,135,83,458,10,77,81252,1587,26,27,"Wheaton College (MA)",81
237057,"Whitman College",1446,46138,444603000,33788,175,94,392,9,87,76320,1498,25.678,27.34,"Whitman College",43
125763,"Whittier College",2260,43280,88827089,24289,153,87,440,13,65,80937,1626,20.4827,19.852,"Whittier College",139
210401,"Willamette University",2693,45617,214322000,30672,216,86,525,11,77,85905,2166,22.8442,23.884,"Willamette University",76
179955,"William Jewell College",1115,32330,64498400,21173,80,77,259,10,60,58320,1043,22,22,"William Jewell College",157
168342,"Williams College",2160,50070,1902111607,20315,297,98,544,6,95,106785,2072,28.9841,31.948,"Williams College",1
206525,"Wittenberg University",2065,38090,92421649,26343,127,80,549,13,69,63747,1948,20.4827,21.004,"Wittenberg University",158
218973,"Wofford College",1779,38705,167509297,24731,131,89,415,12,78,71370,1658,22.3719,23.308,"Wofford College",82
