"","Close","Volume","Today","Lag1","Lag2","AVolume","TodayV","Lag1V","Lag2V","AClose","Lag1BullC","Lag1BullV","Direction"
"2000-01-03",1455.219971,931800000,-0.00964117403526206,0.00325338029606943,0.000689676142222493,871013666.666667,0.598572655076197,-0.482903355166422,-0.0237614480421144,1425.4763306,44.7830037333333,-499997000,"Down"
"2000-01-04",1399.420044,1.009e+09,-0.0398736085275051,-0.00964117403526206,0.00325338029606943,874853666.666667,0.0765113974231913,0.598572655076197,-0.482903355166422,1424.7236654,29.7436404,60786333.3333334,"Down"
"2000-01-05",1402.109985,1085500000,0.00191849500308643,-0.0398736085275051,-0.00964117403526206,881920333.333333,0.0704744357438968,0.0765113974231913,0.598572655076197,1424.0960002,-25.3036214000001,134146333.333333,"Up"
"2000-01-06",1403.449951,1092300000,0.000954765789150684,0.00191849500308643,-0.0398736085275051,887460333.333333,0.00622539595349263,0.0704744357438968,0.0765113974231913,1424.0563314,-21.9860151999999,203579666.666667,"Up"
"2000-01-07",1441.469971,1225200000,0.0263758668337878,0.000954765789150684,0.00191849500308643,903807000,0.10847208619001,0.00622539595349263,0.0704744357438968,1424.8693319,-20.6063803999998,204839666.666667,"Up"
"2000-01-10",1457.599976,1064800000,0.0110661397266653,0.0263758668337878,0.000954765789150684,928896333.333333,-0.150638617580766,0.10847208619001,0.00622539595349263,1426.23533126667,16.6006390999999,321393000,"Up"
"2000-01-11",1438.560059,1.014e+09,-0.0132353994404901,0.0110661397266653,0.0263758668337878,933826333.333333,-0.0500986193293886,-0.150638617580766,0.10847208619001,1427.25966803333,31.3646447333333,135903666.666667,"Down"
"2000-01-12",1432.25,974600000,-0.00440569663117466,-0.0132353994404901,0.0110661397266653,934596333.333333,-0.0404268417812436,-0.0500986193293886,-0.150638617580766,1428.70433356667,11.3003909666666,80173666.6666666,"Down"
"2000-01-13",1449.680054,1030400000,0.0120233798843451,-0.00440569663117466,-0.0132353994404901,939476333.333333,0.0541537267080745,-0.0404268417812436,-0.0500986193293886,1430.43633633333,3.54566643333328,40003666.6666666,"Up"
"2000-01-14",1465.150024,1085900000,0.0105586252237608,0.0120233798843451,-0.00440569663117466,945649666.666667,0.0511096786076066,0.0541537267080745,-0.0404268417812436,1432.30666916667,19.2437176666667,90923666.6666666,"Up"
"2000-01-18",1455.140015,1056700000,-0.00687906929698451,0.0105586252237608,0.0120233798843451,947326333.333333,-0.0276331976909246,0.0511096786076066,0.0541537267080745,1433.03466803333,32.8433548333333,140250333.333333,"Down"
"2000-01-19",1455.900024,1087800000,0.000522020047717289,-0.00687906929698451,0.0105586252237608,953026333.333333,0.0285898143041,-0.0276331976909246,0.0511096786076066,1434.12033696667,22.1053469666665,109373666.666667,"Up"
"2000-01-20",1445.569946,1100700000,-0.0071460243266568,0.000522020047717289,-0.00687906929698451,953523000,0.011719814663396,0.0285898143041,-0.0276331976909246,1435.33366703333,21.7796870333334,134773666.666667,"Down"
"2000-01-21",1441.359985,1209800000,-0.00292082550078565,-0.0071460243266568,0.000522020047717289,961949666.666667,0.0901801950735659,0.011719814663396,0.0285898143041,1436.5829997,10.2362789666668,147177000,"Down"
"2000-01-24",1401.530029,1115800000,-0.0284189101737755,-0.00292082550078565,-0.0071460243266568,961739666.666667,-0.0842444882595447,0.0901801950735659,0.011719814663396,1436.36366783333,4.77698529999998,247850333.333333,"Down"
"2000-01-25",1410.030029,1073700000,0.0060282404099069,-0.0284189101737755,-0.00292082550078565,964623000,-0.0392102076930241,-0.0842444882595447,0.0901801950735659,1436.13000083333,-34.8336388333335,154060333.333333,"Up"
