"","Close","Volume","Today","Lag1","Lag2","AVolume","TodayV","Lag1V","Lag2V","AClose","Lag1BullC","Lag1BullV","Direction"
"2000-01-03",6.71875,3431200,0.0116279069767442,0.0011763952941177,0.0164899869783755,5396106.66666667,0.640242480764747,-1.37200259235256,-0.22568306010929,6.5365236,0.0843097333333338,-4525680,"Up"
"2000-01-04",6.632813,5997600,-0.0129563429573547,0.0116279069767442,0.0011763952941177,5364426.66666667,0.427904495131386,0.640242480764747,-1.37200259235256,6.5255861,0.182226400000001,-1964906.66666667,"Down"
"2000-01-05",6.617188,10562400,-0.00236127491012799,-0.0129563429573547,0.0116279069767442,5543946.66666667,0.432174505794138,0.427904495131386,0.640242480764747,6.51699236666667,0.107226900000001,633173.333333333,"Down"
"2000-01-06",6.859375,15300000,0.035307444191344,-0.00236127491012799,-0.0129563429573547,5867866.66666667,0.309647058823529,0.432174505794138,0.427904495131386,6.51360693333333,0.100195633333334,5018453.33333333,"Up"
"2000-01-07",7.664063,16160800,0.104994961549768,0.035307444191344,-0.00236127491012799,6184560,0.0532646898668383,0.309647058823529,0.432174505794138,6.54850276666667,0.345768066666667,9432133.33333333,"Up"
"2000-01-10",7.53125,9336000,-0.0176349211618257,0.104994961549768,0.035307444191344,6410213.33333333,-0.73101970865467,0.0532646898668383,0.309647058823529,6.583659,1.11556023333333,9976240,"Down"
"2000-01-11",7.546875,9988000,0.0020703933747412,-0.0176349211618257,0.104994961549768,6529813.33333333,0.065278334000801,-0.73101970865467,0.0532646898668383,6.62558606666667,0.947591000000001,2925786.66666667,"Up"
"2000-01-12",7.476563,6378400,-0.00940432121016039,0.0020703933747412,-0.0176349211618257,6445893.33333333,-0.565909946067979,0.065278334000801,-0.73101970865467,6.65839856666667,0.921288933333334,3458186.66666667,"Down"
"2000-01-13",7.710938,6981600,0.030395134807205,-0.00940432121016039,0.0020703933747412,6447973.33333333,0.0863985332874986,-0.565909946067979,0.065278334000801,6.69537773333333,0.818164433333334,-67493.333333333,"Up"
"2000-01-14",7.703125,9292800,-0.00101426369168352,0.030395134807205,-0.00940432121016039,6561706.66666667,0.24870867768595,0.0863985332874986,-0.565909946067979,6.7248048,1.01556026666667,533626.666666667,"Down"
"2000-01-18",7.375,5514400,-0.0444915254237288,-0.00101426369168352,0.030395134807205,6544560,-0.685187871753953,0.24870867768595,0.0863985332874986,6.7453777,0.978320200000001,2731093.33333333,"Down"
"2000-01-19",7.4375,7730400,0.00840336134453781,-0.0444915254237288,-0.00101426369168352,6695680,0.286660457414881,-0.685187871753953,0.24870867768595,6.76803393333333,0.6296223,-1030160,"Up"
"2000-01-20",7.625,8457600,0.0245901639344262,0.00840336134453781,-0.0444915254237288,6787360,0.0859818388195233,0.286660457414881,-0.685187871753953,6.803711,0.669466066666668,1034720,"Up"
"2000-01-21",7.296875,12880800,-0.0449678800856531,0.0245901639344262,0.00840336134453781,7057520,0.343394820197503,0.0859818388195233,0.286660457414881,6.82792973333333,0.821289000000001,1670240,"Down"
"2000-01-24",6.898438,9503200,-0.0577575677276509,-0.0449678800856531,0.0245901639344262,7221946.66666667,-0.355417122653422,0.343394820197503,0.0859818388195233,6.847461,0.468945266666667,5823280,"Down"
