"","STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","DATA"
"3805","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-03-30",NA,36,23,32,1962-03-30
"3806","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-03-31",NA,34,26,31,1962-03-31
"3807","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-01",NA,34,20,32,1962-04-01
"3808","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-02",NA,34,17,30,1962-04-02
"3809","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-03",NA,42,21,35,1962-04-03
"3810","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-04",NA,43,32,38,1962-04-04
"3811","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-05",NA,44,30,38,1962-04-05
"3812","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-06",NA,38,31,31,1962-04-06
"3813","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-07",NA,41,18,40,1962-04-07
"3814","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-08",NA,44,28,28,1962-04-08
"3815","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-09",NA,31,19,27,1962-04-09
"3816","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-10",NA,37,17,33,1962-04-10
"3817","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-11",NA,44,30,38,1962-04-11
"3818","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-12",NA,39,20,36,1962-04-12
"3819","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-13",NA,39,22,34,1962-04-13
"3820","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-14",NA,37,21,26,1962-04-14
"3821","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-15",NA,47,17,41,1962-04-15
"3822","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-16",NA,44,20,38,1962-04-16
"3823","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-17",NA,61,34,55,1962-04-17
"3824","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-18",NA,59,36,51,1962-04-18
"3825","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-19",NA,60,32,56,1962-04-19
"3826","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-20",NA,57,34,53,1962-04-20
"3827","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-21",NA,63,40,56,1962-04-21
"3828","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-22",NA,69,40,54,1962-04-22
"3829","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-23",NA,NA,33,60,1962-04-23
"3830","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-24",NA,NA,46,82,1962-04-24
"3831","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-25",NA,NA,55,84,1962-04-25
"3832","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-26",NA,NA,39,63,1962-04-26
"3833","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-27",NA,NA,39,39,1962-04-27
"3834","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-28",NA,NA,33,53,1962-04-28
"3835","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-29",NA,NA,34,45,1962-04-29
"3836","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-04-30",NA,NA,40,59,1962-04-30
"3837","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-01",NA,NA,44,63,1962-05-01
"3838","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-02",NA,NA,42,74,1962-05-02
"3839","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-03",NA,80,54,74,1962-05-03
"3840","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-04",NA,81,50,78,1962-05-04
"3841","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-05",NA,78,60,64,1962-05-05
"3842","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-06",NA,64,39,51,1962-05-06
"3843","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-07",NA,52,40,43,1962-05-07
"3844","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-08",NA,51,42,46,1962-05-08
"3845","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-09",NA,55,39,50,1962-05-09
"3846","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-10",NA,60,46,57,1962-05-10
"3847","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-11",NA,58,46,52,1962-05-11
"3848","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-12",NA,76,51,73,1962-05-12
"3849","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-13",NA,79,58,76,1962-05-13
"3850","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-14",NA,79,61,73,1962-05-14
"3851","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-15",NA,80,60,77,1962-05-15
"3852","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-16",NA,84,58,77,1962-05-16
"3853","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-17",NA,82,69,72,1962-05-17
"3854","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-18",NA,75,54,64,1962-05-18
"3855","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-19",NA,69,58,63,1962-05-19
"3856","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-20",NA,63,51,59,1962-05-20
"3857","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-21",NA,60,37,54,1962-05-21
"3858","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-22",NA,73,51,57,1962-05-22
"3859","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-23",NA,75,53,53,1962-05-23
"3860","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-24",NA,63,NA,59,1962-05-24
"3861","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-25",NA,64,44,60,1962-05-25
"3862","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-26",NA,64,49,54,1962-05-26
"3863","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-27",NA,67,50,65,1962-05-27
"3864","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-28",NA,66,51,66,1962-05-28
"3865","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-29",NA,74,60,72,1962-05-29
"3866","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-30",NA,73,57,57,1962-05-30
"3867","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-05-31",NA,61,46,48,1962-05-31
"3868","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-01",NA,52,42,52,1962-06-01
"3869","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-02",NA,58,45,56,1962-06-02
"3870","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-03",NA,64,42,63,1962-06-03
"3871","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-04",NA,63,52,58,1962-06-04
"3872","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-05",NA,67,54,65,1962-06-05
"3873","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-06",NA,69,51,67,1962-06-06
"3874","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-07",NA,73,59,72,1962-06-07
"3875","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-08",NA,74,60,63,1962-06-08
"3876","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-09",NA,69,60,66,1962-06-09
"3877","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-10",NA,73,56,70,1962-06-10
"3878","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-11",NA,71,56,68,1962-06-11
"3879","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-12",NA,72,41,71,1962-06-12
"3880","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-13",NA,74,49,74,1962-06-13
"3881","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-14",NA,77,56,77,1962-06-14
"3882","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-15",NA,81,61,80,1962-06-15
"3883","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-16",NA,82,61,77,1962-06-16
"3884","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-17",NA,81,62,76,1962-06-17
"3885","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-18",NA,76,51,58,1962-06-18
"3886","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-06-19",NA,77,51,71,1962-06-19
