Entity["Person", "MichaelMartin::33hs8"]	DateObject[{2018, 4, 29}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedKingdom"]}
Entity["Person", "MatthewWhitaker::btvr8"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "MattGaetz::577t2"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "MarciaFudge::t3zq8"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "ManuelZelaya::zt54z"]	Missing["Alive"]	{Entity["Country", "Honduras"]}
Entity["Person", "LindaSanchez::r9bbn"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "LelandYee::w76sb"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "LeifErickson::3ygcb"]	DateObject[{1998, 12, 22}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "KevinBrady::z49kc"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JosephPitts::vgw88"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JohnMica::nz347"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JohnALogan::72f78"]	DateObject[{1886, 12, 26}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JoeMoore::6y392"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JimLewis::2scgv"]	DateObject[{1997, 2, 22}, "Day", "Gregorian", -5.]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JimKolbe::4f34k"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JimBolger::5k468"]	Missing["Alive"]	{Entity["Country", "NewZealand"]}
Entity["Person", "JerryMoran::64ydm"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JeanYvesLeDrian::x23b7"]	Missing["NotAvailable"]	{Entity["Country", "France"]}
Entity["Person", "JCWatts::p5h83"]	Missing["Alive"]	{Entity["Country", "UnitedStates"], Entity["Country", "RepublicCongo"]}
Entity["Person", "JaredPolis::kjvg2"]	Missing["NotAvailable"]	{Entity["Country", "UnitedStates"]}
Entity["Person", "JaneHarman::5cwfd"]	Missing["Alive"]	{Entity["Country", "UnitedStates"]}
